source,target
文 嫂 把 三 堆 鸡 毛 抱 出 来 屁 股 坐 在 地 下 大 哭 起 来,we2n sa3o ba3 sa1n dui1 ji1 ma2o ba4o chu1 la2i pi4 gu3 zuo4 za4i de xia4 da4 ku1 qi3 la2i
啊 呀 天 呐 这 是 我 口 乃 鸡 呀 我 口 乃 笋 壳 鸡 呀 我 口 乃 黑 母 鸡 我 口 乃 芦 花 鸡 呀,a ya tia1n na4 zhe4 shi4 wo3 ko3u na3i ji1 ya wo3 ko3u na3i su3n ke2 ji1 ya wo3 ko3u na3i he1i mu3 ji1 wo3 ko3u na3i lu2 hua1 ji1 ya
我 寡 妇 失 业 几 十 年 哪 你 咋 个 要 偷 我 口 乃 鸡 呀,wo3 gua3 fu4 shi1 ye4 ji3 shi2 nia2n na3 ni3 za3 ge4 ya4o to1u wo3 ko3u na3i ji1 ya
我 风 里 来 雨 里 去 呀 我 的 命 多 苦 多 艰 难 呀 你 咋 个 要 偷 我 口 乃 鸡 呀,wo3 fe1ng li3 la2i yu3 li3 qu4 ya wo3 de mi4ng duo1 ku3 duo1 jia1n na2n ya ni3 za3 ge4 ya4o to1u wo3 ko3u na3i ji1 ya
你 先 生 是 要 做 大 事 赚 大 钱 的 呀 你 咋 个 要 偷 我 口 乃 鸡 呀,ni3 xia1n she1ng shi4 ya4o zuo4 da4 shi4 zhua4n da4 qia2n de ya ni3 za3 ge4 ya4o to1u wo3 ko3u na3i ji1 ya
我 口 乃 女 婿 死 在 贵 州 十 八 盘 连 尸 都 还 没 有 收 呀 你 咋 个 要 偷 我 口 乃 鸡 呀,wo3 ko3u na3i nv3 xu4 si3 za4i gui4 zho1u shi2 ba1 pa2n lia2n shi1 do1u ha2i me2i yo3u sho1u ya ni3 za3 ge4 ya4o to1u wo3 ko3u na3i ji1 ya
她 哭 得 很 伤 心 很 悲 痛,ta1 ku1 de2 he3n sha1ng xi1n he3n be1i to4ng
她 好 像 要 把 辈 子 所 受 的 委 曲 不 幸 孤 单 和 无 告 全 都 哭 了 出 来,ta1 ha3o xia4ng ya4o ba3 be4i zi suo3 sho4u de we3i qu1 bu4 xi4ng gu1 da1n he2 wu2 ga4o qua2n do1u ku1 le chu1 la2i
这 金 昌 焕 真 是 缺 德 偷 了 文 嫂 的 鸡 还 借 了 文 嫂 的 鼎 罐 来 炖 了 至 于 他 怎 么 偷 的 鸡 怎 么 宰 了 怎 样 退 的 鸡 毛 谁 都 无 从 想 象,zhe4 ji1n cha1ng hua4n zhe1n shi4 que1 de2 to1u le we2n sa3o de ji1 ha2i jie4 le we2n sa3o de di3ng gua4n la2i du4n le zhi4 yu2 ta1 ze3n me to1u de ji1 ze3n me za3i le ze3n ya4ng tui4 de ji1 ma2o she2i do1u wu2 co2ng xia3ng xia4ng
林 子 大 了 什 么 鸟 都 有,li2n zi da4 le she2n me nia3o do1u yo3u
九 八 年 六 月 六 日,jiu3 ba1 nia2n liu4 yue4 liu4 ri4
故 里 杂 记,gu4 li3 za2 ji4
李 三,li3 sa1n
李 三 是 地 保 又 是 更 夫 他 住 在 土 地 祠 土 地 祠 每 坊 都 有 个 坊 后 来 改 称 为 保 了 只 有 死 了 人 和 尚 放 焰 口 写 疏 文 写 明 死 者 籍 贯 还 沿 用 旧 称 南 赡 部 洲 中 华 民 国 某 省 某 县 某 坊 信 士 某 某 云 云 疏 文 是 写 给 阴 间 的 公 事 大 概 阴 间 还 没 有 改 过 来 土 地 是 阴 间 的 保 长 其 职 权 范 围 与 阳 间 的 保 长 相 等 不 能 越 界 理 事 故 称 当 坊 土 地 李 三 所 管 的 也 只 是 这 坊 之 事 出 了 本 坊 哪 怕 只 差 步 不 论 出 了 什 么 事 死 人 失 火 他 都 不 问 个 坊 或 个 保 的 疆 界 保 长 清 楚 李 三 也 清 楚,li3 sa1n shi4 de ba3o yo4u shi4 ge4ng fu1 ta1 zhu4 za4i tu3 de ci2 tu3 de ci2 me3i fa1ng do1u yo3u ge4 fa1ng ho4u la2i ga3i che1ng we4i ba3o le zhi3 yo3u si3 le re2n he2 sha4ng fa4ng ya4n ko3u xie3 shu1 we2n xie3 mi2ng si3 zhe3 ji2 gua4n ha2i ya2n yo4ng jiu4 che1ng na2n sha4n bu4 zho1u zho1ng hua2 mi2n guo2 mo3u she3ng mo3u xia4n mo3u fa1ng xi4n shi4 mo3u mo3u yu2n yu2n shu1 we2n shi4 xie3 ge3i yi1n jia1n de go1ng shi4 da4 ga4i yi1n jia1n ha2i me2i yo3u ga3i guo4 la2i tu3 de shi4 yi1n jia1n de ba3o zha3ng qi2 zhi2 qua2n fa4n we2i yu3 ya2ng jia1n de ba3o zha3ng xia1ng de3ng bu4 ne2ng yue4 jie4 li3 shi4 gu4 che1ng da1ng fa1ng tu3 de li3 sa1n suo3 gua3n de ye3 zhi3 shi4 zhe4 fa1ng zhi1 shi4 chu1 le be3n fa1ng na3 pa4 zhi3 cha4 bu4 bu4 lu4n chu1 le she2n me shi4 si3 re2n shi1 huo3 ta1 do1u bu4 we4n ge4 fa1ng huo4 ge4 ba3o de jia1ng jie4 ba3o zha3ng qi1ng chu3 li3 sa1n ye3 qi1ng chu3
土 地 祠 是 俗 称 正 名 是 福 德 神 祠 这 四 个 字 刻 在 庙 门 的 砖 额 上 蓝 地 金 字 这 是 个 很 小 的 庙 外 面 原 有 两 根 旗 杆 西 边 的 根 有 年 教 雷 劈 了 这 雷 也 真 怪 把 旗 杆 劈 得 粉 碎 劈 成 了 片 片 尺 来 长 的 细 木 条 这 还 有 个 名 目 叫 做 雷 楔 只 剩 东 边 的 根 了 进 门 有 个 门 道 两 边 各 有 间 耳 房 东 边 的 住 着 李 三 西 边 的 间 租 给 了 个 卖 糜 饭 饼 子 的 糜 饭 饼 子 是 米 粥 捣 成 糜 发 酵 后 在 个 平 锅 上 烙 成 的 面 焦 黄 面 是 白 的 有 点 酸 酸 的 甜 味 再 往 里 过 个 两 步 就 跨 过 的 天 井 便 是 神 殿 迎 面 塑 着 土 地 老 爷 的 神 像 神 像 不 大 比 个 常 人 还 小 些 这 土 地 老 爷 是 单 身 不 像 乡 下 的 土 地 庙 里 给 他 配 个 土 地 奶 奶 是 个 笑 眯 眯 的 老 头 嘴 的 白 胡 子 头 戴 员 外 巾 身 穿 蓝 色 道 袍 神 像 前 是 个 很 狭 的 神 案 神 案 上 有 具 铁 制 蜡 烛 架 横 列 排 烛 钎 能 插 二 十 来 根 蜡 烛 个 瓦 香 炉 神 案 前 是 个 收 香 钱 的 木 柜 木 柜 前 留 着 几 尺 可 供 磕 头 的 砖 地 如 此 而 已,tu3 de ci2 shi4 su2 che1ng zhe4ng mi2ng shi4 fu2 de2 she2n ci2 zhe4 si4 ge4 zi4 ke4 za4i mia4o me2n de zhua1n e2 sha4ng la2n de ji1n zi4 zhe4 shi4 ge4 he3n xia3o de mia4o wa4i mia4n yua2n yo3u lia3ng ge1n qi2 ga1n xi1 bia1n de ge1n yo3u nia2n jia4o le2i pi1 le zhe4 le2i ye3 zhe1n gua4i ba3 qi2 ga1n pi1 de2 fe3n sui4 pi1 che2ng le pia4n pia4n chi3 la2i zha3ng de xi4 mu4 tia2o zhe4 ha2i yo3u ge4 mi2ng mu4 jia4o zuo4 le2i xie1 zhi3 she4ng do1ng bia1n de ge1n le ji4n me2n yo3u ge4 me2n da4o lia3ng bia1n ge4 yo3u jia1n e3r fa2ng do1ng bia1n de zhu4 zhe li3 sa1n xi1 bia1n de jia1n zu1 ge3i le ge4 ma4i mi2 fa4n bi3ng zi de mi2 fa4n bi3ng zi shi4 mi3 zho1u da3o che2ng mi2 fa1 jia4o ho4u za4i ge4 pi2ng guo1 sha4ng la4o che2ng de mia4n jia1o hua2ng mia4n shi4 ba2i de yo3u dia3n sua1n sua1n de tia2n we4i za4i wa3ng li3 guo4 ge4 lia3ng bu4 jiu4 kua4 guo4 de tia1n ji3ng bia4n shi4 she2n dia4n yi2ng mia4n su4 zhe tu3 de la3o ye2 de she2n xia4ng she2n xia4ng bu4 da4 bi3 ge4 cha2ng re2n ha2i xia3o xie1 zhe4 tu3 de la3o ye2 shi4 da1n she1n bu4 xia4ng xia1ng xia4 de tu3 de mia4o li3 ge3i ta1 pe4i ge4 tu3 de na3i na3i shi4 ge4 xia4o mi1 mi1 de la3o to2u zui3 de ba2i hu2 zi to2u da4i yua2n wa4i ji1n she1n chua1n la2n se4 da4o pa2o she2n xia4ng qia2n shi4 ge4 he3n xia2 de she2n a4n she2n a4n sha4ng yo3u ju4 tie3 zhi4 la4 zhu2 jia4 he2ng lie4 pa2i zhu2 qia1n ne2ng cha1 e4r shi2 la2i ge1n la4 zhu2 ge4 wa3 xia1ng lu2 she2n a4n qia2n shi4 ge4 sho1u xia1ng qia2n de mu4 gui4 mu4 gui4 qia2n liu2 zhe ji3 chi3 ke3 go1ng ke1 to2u de zhua1n de ru2 ci3 e2r yi3
李 三 同 时 又 是 庙 祝 庙 祝 也 没 有 多 少 事 初 十 五 把 土 地 祠 里 外 打 扫 下 准 备 有 人 来 进 香 过 年 的 时 候 把 两 个 灯 对 子 找 出 来 挂 在 庙 门 两 边 灯 对 子 是 长 方 形 的 纸 灯 里 面 是 木 条 钉 成 的 框 子 外 糊 白 纸 上 书 大 字 边 是 风 调 雨 顺 边 是 国 泰 民 安 灯 对 子 里 有 横 隔 可 以 点 蜡 烛 从 正 月 初 直 点 到 灯 节 这 半 个 多 月 土 地 祠 门 前 明 晃 晃 的 很 有 点 节 日 气 氛 这 半 个 月 进 香 的 也 多 每 逢 香 期 到 了 晚 上 李 三 就 把 收 香 钱 的 柜 子 打 开 把 香 钱 倒 出 来 五 十 地 数 数,li3 sa1n to2ng shi2 yo4u shi4 mia4o zhu4 mia4o zhu4 ye3 me2i yo3u duo1 sha3o shi4 chu1 shi2 wu3 ba3 tu3 de ci2 li3 wa4i da3 sa3o xia4 zhu3n be4i yo3u re2n la2i ji4n xia1ng guo4 nia2n de shi2 ho4u ba3 lia3ng ge4 de1ng dui4 zi zha3o chu1 la2i gua4 za4i mia4o me2n lia3ng bia1n de1ng dui4 zi shi4 zha3ng fa1ng xi2ng de zhi3 de1ng li3 mia4n shi4 mu4 tia2o di1ng che2ng de kua1ng zi wa4i hu2 ba2i zhi3 sha4ng shu1 da4 zi4 bia1n shi4 fe1ng dia4o yu3 shu4n bia1n shi4 guo2 ta4i mi2n a1n de1ng dui4 zi li3 yo3u he2ng ge2 ke3 yi3 dia3n la4 zhu2 co2ng zhe4ng yue4 chu1 zhi2 dia3n da4o de1ng jie2 zhe4 ba4n ge4 duo1 yue4 tu3 de ci2 me2n qia2n mi2ng hua3ng hua3ng de he3n yo3u dia3n jie2 ri4 qi4 fe1n zhe4 ba4n ge4 yue4 ji4n xia1ng de ye3 duo1 me3i fe2ng xia1ng qi1 da4o le wa3n sha4ng li3 sa1n jiu4 ba3 sho1u xia1ng qia2n de gui4 zi da3 ka1i ba3 xia1ng qia2n da4o chu1 la2i wu3 shi2 de shu4 shu4
偶 尔 有 人 来 赌 咒 两 家 为 件 事 分 辩 不 清 常 见 的 是 东 家 丢 了 东 西 怀 疑 是 西 家 偷 了 两 家 对 骂 了 阵 就 各 备 份 香 烛 到 土 地 祠 来 赌 咒 两 个 人 同 时 磕 了 头 个 说 土 地 老 爷 在 上 若 是 某 某 偷 了 我 的 东 西 就 叫 他 现 世 现 报 另 个 说 土 地 老 爷 在 上 我 若 做 了 此 事 就 叫 我 家 死 人 失 天 火 他 诬 赖 我 也 样 咒 已 赌 完 各 自 回 家 李 三 就 把 只 点 了 小 半 截 的 蜡 烛 吹 灭 拔 下 收 好 备 用,o3u e3r yo3u re2n la2i du3 zho4u lia3ng jia1 we4i jia4n shi4 fe1n bia4n bu4 qi1ng cha2ng jia4n de shi4 do1ng jia1 diu1 le do1ng xi1 hua2i yi2 shi4 xi1 jia1 to1u le lia3ng jia1 dui4 ma4 le zhe4n jiu4 ge4 be4i fe4n xia1ng zhu2 da4o tu3 de ci2 la2i du3 zho4u lia3ng ge4 re2n to2ng shi2 ke1 le to2u ge4 shuo1 tu3 de la3o ye2 za4i sha4ng ruo4 shi4 mo3u mo3u to1u le wo3 de do1ng xi1 jiu4 jia4o ta1 xia4n shi4 xia4n ba4o li4ng ge4 shuo1 tu3 de la3o ye2 za4i sha4ng wo3 ruo4 zuo4 le ci3 shi4 jiu4 jia4o wo3 jia1 si3 re2n shi1 tia1n huo3 ta1 wu1 la4i wo3 ye3 ya4ng zho4u yi3 du3 wa2n ge4 zi4 hui2 jia1 li3 sa1n jiu4 ba3 zhi3 dia3n le xia3o ba4n jie2 de la4 zhu2 chui1 mie4 ba2 xia4 sho1u ha3o be4i yo4ng
李 三 最 高 兴 的 事 是 有 人 来 还 愿 坊 里 有 人 家 出 了 事 例 如 老 人 病 重 或 是 孩 子 出 了 天 花 就 到 土 地 祠 来 许 愿 老 人 病 好 了 孩 子 天 花 出 过 了 就 来 还 愿 仪 式 很 隆 重 给 菩 萨 挂 匾 送 块 横 宽 二 三 尺 的 红 布 匾 上 写 四 字 有 求 必 应 满 炉 的 香 红 蜡 烛 把 铁 架 都 插 满 了 这 种 蜡 烛 很 小 只 二 寸 长 叫 做 小 牙 最 重 要 的 是 供 个 猪 头 因 此 谁 家 许 了 愿 李 三 就 很 关 心 随 时 打 听 这 是 很 容 易 打 听 到 的 老 人 病 好 会 出 来 扶 杖 而 行 孩 子 出 了 天 花 在 衣 领 的 后 面 就 会 缝 条 三 指 宽 三 寸 长 的 红 布 上 写 天 花 已 过 于 是 老 三 就 满 怀 希 望 地 等 着 这 猪 头 到 了 晚 上 就 进 了 李 三 的 砂 罐 了 个 七 斤 半 重 的 猪 头 够 李 三 消 受 好 几 天 这 几 天 李 三 的 脸 上 随 时 都 是 红 喷 喷 的,li3 sa1n zui4 ga1o xi4ng de shi4 shi4 yo3u re2n la2i ha2i yua4n fa1ng li3 yo3u re2n jia1 chu1 le shi4 li4 ru2 la3o re2n bi4ng zho4ng huo4 shi4 ha2i zi chu1 le tia1n hua1 jiu4 da4o tu3 de ci2 la2i xu3 yua4n la3o re2n bi4ng ha3o le ha2i zi tia1n hua1 chu1 guo4 le jiu4 la2i ha2i yua4n yi2 shi4 he3n lo2ng zho4ng ge3i pu2 sa4 gua4 bia3n so4ng kua4i he2ng kua1n e4r sa1n chi3 de ho2ng bu4 bia3n sha4ng xie3 si4 zi4 yo3u qiu2 bi4 yi1ng ma3n lu2 de xia1ng ho2ng la4 zhu2 ba3 tie3 jia4 do1u cha1 ma3n le zhe4 zho3ng la4 zhu2 he3n xia3o zhi3 e4r cu4n zha3ng jia4o zuo4 xia3o ya2 zui4 zho4ng ya4o de shi4 go1ng ge4 zhu1 to2u yi1n ci3 she2i jia1 xu3 le yua4n li3 sa1n jiu4 he3n gua1n xi1n sui2 shi2 da3 ti1ng zhe4 shi4 he3n ro2ng yi4 da3 ti1ng da4o de la3o re2n bi4ng ha3o hui4 chu1 la2i fu2 zha4ng e2r xi2ng ha2i zi chu1 le tia1n hua1 za4i yi1 li3ng de ho4u mia4n jiu4 hui4 fe4ng tia2o sa1n zhi3 kua1n sa1n cu4n zha3ng de ho2ng bu4 sha4ng xie3 tia1n hua1 yi3 guo4 yu2 shi4 la3o sa1n jiu4 ma3n hua2i xi1 wa4ng de de3ng zhe zhe4 zhu1 to2u da4o le wa3n sha4ng jiu4 ji4n le li3 sa1n de sha1 gua4n le ge4 qi1 ji1n ba4n zho4ng de zhu1 to2u go4u li3 sa1n xia1o sho4u ha3o ji3 tia1n zhe4 ji3 tia1n li3 sa1n de lia3n sha4ng sui2 shi2 do1u shi4 ho2ng pe1n pe1n de
