source,target
汪 曾 祺 小 说 经 典 复 仇,wa1ng ce2ng qi2 xia3o shuo1 ji1ng dia3n fu4 cho2u
复 仇 者 不 折 镆 干 虽 有 忮 心 不 怨 飘 瓦,fu4 cho2u zhe3 bu4 zhe2 mo4 ga4n sui1 yo3u zhi4 xi1n bu4 yua4n pia1o wa3
庄 子,zhua1ng zi
支 素 烛 半 罐 野 蜂 蜜 他 的 眼 睛 现 在 看 不 见 蜜 蜜 在 罐 里 他 坐 在 榻 上 但 他 充 满 了 蜜 的 感 觉 浓 稠 他 嗓 子 里 并 不 泛 出 酸 味 他 的 胃 口 很 好 他 生 没 有 呕 吐 过 几 回 生 生 该 是 多 久 呀 我 这 是 生 了 么 没 有 关 系 这 是 个 很 普 通 的 口 头 语 谁 都 说 我 这 生 就 像 那 和 尚 吧 和 尚 定 是 常 常 吃 这 种 野 蜂 蜜 他 的 眼 睛 眯 了 眯 因 为 烛 火 跳 跳 着 堆 影 子 他 笑 了 下 他 心 里 对 和 尚 有 了 个 称 呼 蜂 蜜 和 尚 这 也 难 怪 因 为 蜂 蜜 和 尚 后 面 隐 了 生 两 个 字 明 天 辞 行 的 时 候 我 当 真 叫 他 声 他 会 怎 么 样 呢 和 尚 倒 有 了 个 称 呼 了 我 呢 他 会 称 呼 我 什 么 该 不 是 宝 剑 客 人 吧 他 看 到 和 尚 眼 就 看 到 他 的 剑 这 蜂 蜜 他 想 起 来 的 时 候 路 听 见 蜜 蜂 叫 是 的 有 蜜 蜂 蜜 蜂 真 不 少 叫 得 座 山 都 浮 动 了 起 来 现 在 残 余 的 声 音 还 在 他 的 耳 朵 里 从 这 里 开 始 了 我 今 天 的 晚 上 而 明 天 又 从 这 里 接 连 下 去 人 生 真 是 说 不 清 他 忽 然 觉 得 这 是 秋 天 从 蜜 蜂 的 声 音 里 从 声 音 里 他 感 到 身 轻 爽 不 错 普 天 下 此 刻 写 满 了 个 秋 他 想 象 和 尚 去 找 蜂 蜜 大 片 山 花 和 尚 站 在 片 花 的 前 面 实 在 是 好 看 极 了 和 尚 摘 花 大 殿 上 的 铜 钵 里 有 花 开 得 真 好 冉 冉 的 像 是 从 钵 里 升 起 蓬 雾 他 喜 欢 这 个 和 尚,zhi1 su4 zhu2 ba4n gua4n ye3 fe1ng mi4 ta1 de ya3n ji1ng xia4n za4i ka4n bu4 jia4n mi4 mi4 za4i gua4n li3 ta1 zuo4 za4i ta4 sha4ng da4n ta1 cho1ng ma3n le mi4 de ga3n jue2 no2ng cho2u ta1 sa3ng zi li3 bi4ng bu4 fa4n chu1 sua1n we4i ta1 de we4i ko3u he3n ha3o ta1 she1ng me2i yo3u o3u tu3 guo4 ji3 hui2 she1ng she1ng ga1i shi4 duo1 jiu3 ya wo3 zhe4 shi4 she1ng le me me2i yo3u gua1n xi4 zhe4 shi4 ge4 he3n pu3 to1ng de ko3u to2u yu3 she2i do1u shuo1 wo3 zhe4 she1ng jiu4 xia4ng na4 he2 sha4ng ba he2 sha4ng di4ng shi4 cha2ng cha2ng chi1 zhe4 zho3ng ye3 fe1ng mi4 ta1 de ya3n ji1ng mi1 le mi1 yi1n we4i zhu2 huo3 tia4o tia4o zhe dui1 yi3ng zi ta1 xia4o le xia4 ta1 xi1n li3 dui4 he2 sha4ng yo3u le ge4 che1ng hu1 fe1ng mi4 he2 sha4ng zhe4 ye3 na2n gua4i yi1n we4i fe1ng mi4 he2 sha4ng ho4u mia4n yi3n le she1ng lia3ng ge4 zi4 mi2ng tia1n ci2 xi2ng de shi2 ho4u wo3 da1ng zhe1n jia4o ta1 she1ng ta1 hui4 ze3n me ya4ng ne he2 sha4ng da4o yo3u le ge4 che1ng hu1 le wo3 ne ta1 hui4 che1ng hu1 wo3 she2n me ga1i bu4 shi4 ba3o jia4n ke4 re2n ba ta1 ka4n da4o he2 sha4ng ya3n jiu4 ka4n da4o ta1 de jia4n zhe4 fe1ng mi4 ta1 xia3ng qi3 la2i de shi2 ho4u lu4 ti1ng jia4n mi4 fe1ng jia4o shi4 de yo3u mi4 fe1ng mi4 fe1ng zhe1n bu4 sha3o jia4o de2 zuo4 sha1n do1u fu2 do4ng le qi3 la2i xia4n za4i ca2n yu2 de she1ng yi1n ha2i za4i ta1 de e3r duo3 li3 co2ng zhe4 li3 ka1i shi3 le wo3 ji1n tia1n de wa3n sha4ng e2r mi2ng tia1n yo4u co2ng zhe4 li3 jie1 lia2n xia4 qu4 re2n she1ng zhe1n shi4 shuo1 bu4 qi1ng ta1 hu1 ra2n jue2 de2 zhe4 shi4 qiu1 tia1n co2ng mi4 fe1ng de she1ng yi1n li3 co2ng she1ng yi1n li3 ta1 ga3n da4o she1n qi1ng shua3ng bu4 cuo4 pu3 tia1n xia4 ci3 ke4 xie3 ma3n le ge4 qiu1 ta1 xia3ng xia4ng he2 sha4ng qu4 zha3o fe1ng mi4 da4 pia4n sha1n hua1 he2 sha4ng zha4n za4i pia4n hua1 de qia2n mia4n shi2 za4i shi4 ha3o ka4n ji2 le he2 sha4ng zha1i hua1 da4 dia4n sha4ng de to2ng bo1 li3 yo3u hua1 ka1i de2 zhe1n ha3o ra3n ra3n de xia4ng shi4 co2ng bo1 li3 she1ng qi3 pe2ng wu4 ta1 xi3 hua1n zhe4 ge4 he2 sha4ng
和 尚 出 去 了 单 举 着 只 手 后 退 了 几 步 既 不 拘 礼 又 似 有 情 和 尚 你 定 是 自 自 然 然 地 行 了 无 数 次 这 样 的 礼 了 和 尚 放 下 蜡 烛 说 了 几 句 话 不 外 是 庙 宇 偏 僻 没 有 什 么 可 以 招 待 山 高 风 大 气 候 凉 早 早 安 息 和 尚 不 说 他 也 听 见 和 尚 说 了 他 可 没 有 听 他 尽 着 看 这 和 尚 他 起 身 为 礼 和 尚 飘 然 而 去 双 袖 飘 飘 像 只 大 蝴 蝶,he2 sha4ng chu1 qu4 le da1n ju3 zhe zhi3 sho3u ho4u tui4 le ji3 bu4 ji4 bu4 ju1 li3 yo4u shi4 yo3u qi2ng he2 sha4ng ni3 di4ng shi4 zi4 zi4 ra2n ra2n de xi2ng le wu2 shu4 ci4 zhe4 ya4ng de li3 le he2 sha4ng fa4ng xia4 la4 zhu2 shuo1 le ji3 ju4 hua4 bu4 wa4i shi4 mia4o yu3 pia1n pi4 me2i yo3u she2n me ke3 yi3 zha1o da4i sha1n ga1o fe1ng da4 qi4 ho4u lia2ng za3o za3o a1n xi1 he2 sha4ng bu4 shuo1 ta1 ye3 ti1ng jia4n he2 sha4ng shuo1 le ta1 ke3 me2i yo3u ti1ng ta1 ji3n zhe ka4n zhe4 he2 sha4ng ta1 qi3 she1n we4i li3 he2 sha4ng pia1o ra2n e2r qu4 shua1ng xiu4 pia1o pia1o xia4ng zhi3 da4 hu2 die2
他 在 心 里 画 不 出 和 尚 的 样 子 他 想 和 尚 如 果 不 是 把 头 剃 光 他 该 有 头 多 好 的 白 发 头 亮 亮 的 白 发 在 他 的 心 里 闪 耀 着,ta1 za4i xi1n li3 hua4 bu4 chu1 he2 sha4ng de ya4ng zi ta1 xia3ng he2 sha4ng ru2 guo3 bu4 shi4 ba3 to2u ti4 gua1ng ta1 ga1i yo3u to2u duo1 ha3o de ba2i fa1 to2u lia4ng lia4ng de ba2i fa1 za4i ta1 de xi1n li3 sha3n ya4o zhe
白 发 的 和 尚 呀,ba2i fa1 de he2 sha4ng ya
他 是 想 起 了 他 的 白 了 发 的 母 亲,ta1 shi4 xia3ng qi3 le ta1 de ba2i le fa1 de mu3 qi1n
山 里 的 夜 来 得 真 快 日 入 群 动 息 真 是 静 极 了 他 路 走 来 就 觉 得 片 安 静 可 是 山 里 和 路 上 迥 然 不 同 他 走 进 小 山 村 小 蒙 舍 里 有 孩 子 读 书 声 马 的 铃 铛 连 枷 敲 在 豆 秸 上 小 路 上 的 新 牛 粪 发 散 着 热 气 白 云 从 草 垛 边 缓 缓 移 过 个 梳 辫 子 的 小 姑 娘 穿 着 件 银 红 色 的 衫 子 可 是 原 来 描 写 着 静 的 现 在 全 表 示 着 动 他 甚 至 想 过 自 己 作 个 货 郎 来 给 这 个 山 村 添 加 点 声 音 的 这 会 可 不 能 在 这 万 山 之 间 拨 浪 浪 摇 他 的 小 鼓,sha1n li3 de ye4 la2i de2 zhe1n kua4i ri4 ru4 qu2n do4ng xi1 zhe1n shi4 ji4ng ji2 le ta1 lu4 zo3u la2i jiu4 jue2 de2 pia4n a1n ji4ng ke3 shi4 sha1n li3 he2 lu4 sha4ng jio3ng ra2n bu4 to2ng ta1 zo3u ji4n xia3o sha1n cu1n xia3o me2ng she3 li3 yo3u ha2i zi du2 shu1 she1ng ma3 de li2ng da1ng lia2n jia1 qia1o za4i do4u jie1 sha4ng xia3o lu4 sha4ng de xi1n niu2 fe4n fa1 sa4n zhe re4 qi4 ba2i yu2n co2ng ca3o duo3 bia1n hua3n hua3n yi2 guo4 ge4 shu1 bia4n zi de xia3o gu1 nia2ng chua1n zhe jia4n yi2n ho2ng se4 de sha1n zi ke3 shi4 yua2n la2i mia2o xie3 zhe ji4ng de xia4n za4i qua2n bia3o shi4 zhe do4ng ta1 she2n zhi4 xia3ng guo4 zi4 ji3 zuo4 ge4 huo4 la2ng la2i ge3i zhe4 ge4 sha1n cu1n tia1n jia1 dia3n she1ng yi1n de zhe4 hui4 ke3 bu4 ne2ng za4i zhe4 wa4n sha1n zhi1 jia1n bo1 la4ng la4ng ya2o ta1 de xia3o gu3
货 郎 的 拨 浪 鼓 在 小 石 桥 前 摇 那 是 他 的 家 他 知 道 他 想 的 是 他 的 母 亲 而 投 在 母 亲 的 线 条 里 着 了 色 的 忽 然 又 是 他 的 妹 妹 他 真 愿 意 有 这 么 个 妹 妹 像 他 在 这 个 山 村 里 刚 才 见 到 的 穿 着 银 红 色 的 衫 子 在 门 前 井 边 打 水 青 石 的 井 栏 井 边 架 小 红 花 她 想 摘 朵 听 见 母 亲 纺 车 声 音 觉 得 该 回 家 了 天 不 早 了 就 说 我 明 天 早 来 摘 你 你 在 那 儿 我 记 得 她 可 以 给 旅 行 人 指 路 山 上 有 个 庙 庙 里 和 尚 好 你 可 以 去 借 宿 小 姑 娘 和 旅 行 人 都 走 了 剩 下 口 井 他 们 走 了 会 井 栏 上 的 余 滴 还 丁 丁 咚 咚 地 落 回 井 里 村 边 的 大 乌 柏 树 黑 黑 的 夜 开 始 向 它 合 过 来 磨 麦 子 的 石 碾 呼 呼 的 声 音 停 止 在 点 上,huo4 la2ng de bo1 la4ng gu3 za4i xia3o shi2 qia2o qia2n ya2o na4 shi4 ta1 de jia1 ta1 zhi1 da4o ta1 xia3ng de shi4 ta1 de mu3 qi1n e2r to2u za4i mu3 qi1n de xia4n tia2o li3 zhe le se4 de hu1 ra2n yo4u shi4 ta1 de me4i me4i ta1 zhe1n yua4n yi4 yo3u zhe4 me ge4 me4i me4i xia4ng ta1 za4i zhe4 ge4 sha1n cu1n li3 ga1ng ca2i jia4n da4o de chua1n zhe yi2n ho2ng se4 de sha1n zi za4i me2n qia2n ji3ng bia1n da3 shui3 qi1ng shi2 de ji3ng la2n ji3ng bia1n jia4 xia3o ho2ng hua1 ta1 xia3ng zha1i duo3 ti1ng jia4n mu3 qi1n fa3ng che1 she1ng yi1n jue2 de2 ga1i hui2 jia1 le tia1n bu4 za3o le jiu4 shuo1 wo3 mi2ng tia1n za3o la2i zha1i ni3 ni3 za4i na4 e2r wo3 ji4 de2 ta1 ke3 yi3 ge3i lv3 xi2ng re2n zhi3 lu4 sha1n sha4ng yo3u ge4 mia4o mia4o li3 he2 sha4ng ha3o ni3 ke3 yi3 qu4 jie4 su4 xia3o gu1 nia2ng he2 lv3 xi2ng re2n do1u zo3u le she4ng xia4 ko3u ji3ng ta1 men zo3u le hui4 ji3ng la2n sha4ng de yu2 di1 ha2i di1ng di1ng do1ng do1ng de luo4 hui2 ji3ng li3 cu1n bia1n de da4 wu1 ba3i shu4 he1i he1i de ye4 ka1i shi3 xia4ng ta1 he2 guo4 la2i mo2 ma4i zi de shi2 nia3n hu1 hu1 de she1ng yi1n ti2ng zhi3 za4i dia3n sha4ng
